project,year,fellow,region,match,corrected
"
              To undertake consultation with Aboriginal/Indigenous communities on the implementation of a Doula training program for Aboriginal women to provide cultural support to Aboriginal women who are birthing away off country/traditional lands - Canada, USA, New 
",2018,"Gliddon, Janinne",New,no,NA
"
              To examine leading dispute resolution practices upon cross-cultural family breakdown - Singapore, Malaysia, Hong Kong, Japan, Canada
",2017,"Barr, Stuart",Hong Kong,no,China
"
              To investigate early intervention in mental illnesses for serving police and peer support for former police employees - USA, Canada, UK, Hong Kong
",2017,"Dean, Greg",Hong Kong,no,China
"
              To research new, practical methods to fight law enforcement corruption by organised crime - Hong Kong, Austria, Lithuania, Estonia, Finland
",2017,"Nixon, Carolyn",Hong Kong,no,China
"
              The Mr and Mrs Gerald Frank New Churchill Fellowship to learn how to make 18th Century clarinets for Australian clarinettists - UK, The Netherlands
",2016,"Doyle, Andrew",The Netherlands,no,Netherlands
"
              To research the effects of vehicle lane changing on freeway capacity and road safety - France, Norway, Sweden, Netherlands, Belgium, Germany, Italy, Greece and Israel.
",2016,"Gaffney, John",Greece and Israel,no,Greece
"
              To research the effects of vehicle lane changing on freeway capacity and road safety - France, Norway, Sweden, Netherlands, Belgium, Germany, Italy, Greece and Israel.
",2016,"Gaffney, John",Greece and Israel,no,Israel
"
              To study both age old and key new techniques in vegetable and legume fermentation - Denmark, Italy, China, Korea, Japan
",2016,"James, Adam",Korea,no,South Korea
"
              To research initiatives for reducing recidivism of (ex)offenders through supported reintegration and rehabilitation - Singapore, Scotland, Canada, USA
",2016,"Kelly, Louise",Scotland,no,UK
"
              To enhance understanding of Asian triad societies and the influence on Australian illicit drug markets - Hong Kong, Taiwan
",2016,"Pargin, Giles",Hong Kong,no,China
"
              The Dorothy and Brian Wilson Churchill Fellowship to research innovations for improving the lives of victims of serious violence committed by people with a mental illness - USA, Canada, UK, The Netherlands
",2016,"Power, Michael",The Netherlands,no,Netherlands
"
              To learn the traditional arts and language once practiced on Norfolk Island - Pitcairn Island, Tahiti
",2016,"Snell, Damien",Pitcairn Island,no,UK
"
              To learn the traditional arts and language once practiced on Norfolk Island - Pitcairn Island, Tahiti
",2016,"Snell, Damien",Tahiti,no,French Polynesia
"
              The Dame Roma Mitchell Churchill Fellowship to undertake study in contemporary music composition, performance and ensemble directing - USA, Holland, Denmark, Germany, UK, Norway, Sweden
",2015,"Karlen Gelli, Rafael",Holland,no,Netherlands
"
              To investigate innovative programs of raising awareness, management and solutions to plastic pollution - USA, Netherlands, UK, Hong Kong
",2015,"Prince-Ruiz, Rebecca",Hong Kong,no,China
"
              To investigate specialist DNA techniques for the identification of compromised human remains - USA, Netherlands, Czech Republic, Austria, Slovenia, Bosnia & Herzegovina
",2015,"Ward, Jodie",Bosnia & Herzegovina,no,Bosnia and Herzegovina
"
              The Jack Brockhoff Foundation Churchill Fellowship to investigate medical research commercialisation & innovation initiatives - USA, Germany & Singapore
",2014,"Brew, Nadine",Germany & Singapore,no,Germany
"
              The Jack Brockhoff Foundation Churchill Fellowship to investigate medical research commercialisation & innovation initiatives - USA, Germany & Singapore
",2014,"Brew, Nadine",Germany & Singapore,no,Singapore
"
              The Sir William Kilpatrick Churchill Fellowship to gain expertise in life supportive treatment for patients bridged to lung transplant on extracorporeal membrane oxygenation - France, Germany, Belgium, USA & Canada
",2014,"Button, Brenda",USA & Canada,no,USA
"
              The Sir William Kilpatrick Churchill Fellowship to gain expertise in life supportive treatment for patients bridged to lung transplant on extracorporeal membrane oxygenation - France, Germany, Belgium, USA & Canada
",2014,"Button, Brenda",USA & Canada,no,Canada
"
              To investigate cultural perspectives on sustainable social and emotional strategies that can be implemented by secondary school teachers to support mental health and wellness of gifted adolescents - Singapore, Hong Kong, UK, Slovenia, USA
",2014,"Furphy , Valerie",Hong Kong,no,China
"
              To investigate social housing waiting lists to prioritise assistance for homeless people - Singapore, Hong Kong, USA, UK
",2014,"Georgopoulos, Debbie",Hong Kong,no,China
"
              To investigate planning policies that deliver positive social outcomes in hyper-dense, high-rise residential environments - USA, Canada, Hong Kong, Japan, South Korea
",2014,"Hodyl, Leanne",Hong Kong,no,China
"
              To investigate how public art galleries construct and represent national identity - USA, Hong Kong, Singapore
",2014,"Russ, Vanessa",Hong Kong,no,China
"
              The Park Family Churchill Fellowship to study programs which enhance the work readiness of young people leaving school - UK, France, Greece, Hong Kong
",2013,"Balcomb, Ian",Hong Kong,no,China
"
              To explore innovative models for scaling social initiatives to maximise social impact - Singapore, Hong Kong, USA, UK, Canada
",2013,"McCulloch, Brodie",Hong Kong,no,China
"
              To review the delivery of counselling support for women undergoing new prenatal technology - UK, USA, Hong Kong
",2013,"McGrath, Pauline",Hong Kong,no,China
"
              To research ways in which isolated artists work to create strong and tourable theatre - Turkey, Germany, UK, Ireland, Columbia
",2013,"O'Donnell, Angela",Columbia,no,Colombia
"
              The Vincent Fairfax Family Foundation Churchill Fellowship to discover new ways to develop and deliver multidisciplinary falls prevention intervention that can effectively protect older Australians from falls after discharge from hospital - UK, Netherland
",2013,"Shkuratova, Nataliya",Netherland,no,Netherlands
"
              To investigate, develop and implement aged care dementia immersive sensory art projects - Hong Kong, Japan, UK
",2013,"Soropos, Efterpi",Hong Kong,no,China
"
              To investigate strategies for overcoming poor perception and improving the uptake of home-based dialysis therapies - Hong Kong, Canada
",2012,"Chow, Josephine",Hong Kong,no,China
"
              To explore the development of improved fire investigation tools by incorporating the latest developments in fire research - China, Hong Kong, Sweden, USA, Canada
",2012,"Cook, Morgan",Hong Kong,no,China
"
              To gain practical knowledge of the methods used to load and unload containers from supply ships at small, isolated islands - Australia, Nauru, Ascension/St Helena Island, Easter Island, Tahiti
",2012,"Evans, Duncan",Ascension/St Helena Island,no,UK
"
              To gain practical knowledge of the methods used to load and unload containers from supply ships at small, isolated islands - Australia, Nauru, Ascension/St Helena Island, Easter Island, Tahiti
",2012,"Evans, Duncan",Easter Island,no,Chile
"
              To gain practical knowledge of the methods used to load and unload containers from supply ships at small, isolated islands - Australia, Nauru, Ascension/St Helena Island, Easter Island, Tahiti
",2012,"Evans, Duncan",Tahiti,no,French Polynesia
"
              The Mr and Mrs Gerald Frank New Churchill Fellowship to undertake an investigation of piccolo performance and teaching - Hong Kong, Germany, UK, USA
",2012,"Hudson, Lloyd",Hong Kong,no,China
"
              The Vincent Fairfax Ethics in Leadership Foundation Churchill Fellowship to visit Microsoft Worldwide schools to investigate innovative leadership, ICT and global learning - Korean Republic, Singapore, Malaysia
",2012,"Turner, Elisabeth",Korean Republic,no,South Korea
"
              The Churchill Fellows' Association of Victoria Churchill Fellowship to investigate methods for sustaining production and creative culture in the Australian animation industry - Japan, USA, Canada, UK, France, Germany, Hong Kong
",2011,"BAKER, Leo",Hong Kong,no,China
"
              To develop strategies for composing with environmental sound in fixed-media and live performance - Arctic Circle, Canada, USA
",2011,"BLINKHORN, Daniel",Arctic Circle,no,NA
"
              To study community cultural engagement - UK, Ireland, Austria Portugal, USA
",2011,"MURRAY, Glen",Austria Portugal,no,Austria
"
              To study community cultural engagement - UK, Ireland, Austria Portugal, USA
",2011,"MURRAY, Glen",Austria Portugal,no,Portugal
"
              The Australian Biological Resources Study Churchill Fellowship to examine Australian specimens which will result in a large number of new species descriptions of frogs and reptiles, particularly geckos - UK, USA, West Indies
",2010,"DOUGHTY, Paul",West Indies,no,NA
"
              To study the origins of patterns and their relation to 3Dimensional spaces and objects - Japan, China, Hong Kong, Turkey, UK
",2010,"WATERSON, Christina",Hong Kong,no,China
"
              To investigate public transport systems utilising the latest technology to incorporate newer forms of transit such as bicycles and car sharing - China, Hong Kong, Germany, Switzerland, France, UK, USA, Singapore
",2009,"CONHEADY, Monique",Hong Kong,no,China
"
              To study veterinary practice, facilities and protocols in open range zoos - USA, South Africa, UK, Portugal, Japan, Hong Kong, Cambodia
",2009,"SMITH, Ian",Hong Kong,no,China
"
              To investigate strategies to engage new generations in the performing arts - France, U.K., USA, Hong Kong
",2008,"ARMSTRONG-SMITH, Katherine",Hong Kong,no,China
"
              To compare and evaluate electronic crime management models - Singapore, Hong Kong, U.K., USA
",2008,"TAYLOR, Duncan",Hong Kong,no,China
"
              The Lamington National Park Churchill Fellowship to study the conservation of small and threatened wildlife populations - U.K., Channel Islands, USA
",2007,"BENNISON, Kerrie",Channel Islands,no,UK
"
              To investigate the use of Spatial Technology for implementation in schools - Hong Kong, USA, Canada, U.K.
",2007,"McINERNEY, Malcolm",Hong Kong,no,China
"
              The Australia-China Council Churchill Fellowship to identify strategies for implementing cultural education and learning of the arts through inclusive systems for dance in Asia - China, Hong Kong, Taiwan, Singapore
",2007,"PHILLIPS, Amanda",Hong Kong,no,China
"
              To study how policing organisations address rail related safety and security to provide an environment that gains community confidence - Russia, U.K., USA, Canada, Hong Kong
",2007,"STURGESS APM, Donna",Hong Kong,no,China
"
              The Donald Mackay Churchill Fellowship to investigate how major sea ports manage port security relative to the International Maritime Organisation (IMO) requirements including strategies used to tackle organised crime - Hong Kong, U.K., Netherlands, USA, 
",2006,"ASHWORTH, Kenneth",Hong Kong,no,China
"
              The Donald Mackay Churchill Fellowship to investigate how major sea ports manage port security relative to the International Maritime Organisation (IMO) requirements including strategies used to tackle organised crime - Hong Kong, U.K., Netherlands, USA, 
",2006,"ASHWORTH, Kenneth",,no,NA
"
              To investigate innovative methods for supplementing water supplies, such as seawater desalination plants and wastewater recycling plants, for human consumption and/or industrial use - USA, West Indies, Spain, Singapore
",2006,"BRAND, Michael",West Indies,no,NA
"
              To undertake a comparison of available and emerging technology, and of innovative care models, in providing cost effective solutions to the social and health risks taken by older people who choose to maintain independent living - USA, Canada, U.K., Irelan
",2006,"CARR, Trevor",Irelan,no,Ireland
"
              The 40th Anniversary Churchill Fellowship (NSW) to explore alternatives to conventional models of urban design that have produced alienating suburban sprawl and dull medium density building - Colombia, USA, U.K., Netherlands, Denmark, Germany, Austria, Fr
",2006,"HADDOW, Adam",Fr,no,NA
"
              The 40th Anniversary Churchill Fellowship (WA) to compare multi-agency services provided to children and families where the child requires a forensic interview, medical examination, legal services, counselling and family support services - USA, Canada, U.
",2006,"HALL, Natalie",U,no,NA
"
              To examine culturally inclusive outreach and extension mental health initiatives to geographically dispersed migrant and refugee populations and strategies for developing the cultural competence of rurally-based mental health service providers - Canada, U
",2006,"HUBERT, Carol",U,no,NA
"
              To research and document environmental art that has been successfully integrated into architecture and landscape, creating works that are potent, interpretive, informative as well as being experiential and engaging spaces - Germany, France, Italy, U.K., F
",2006,"LAURENCE, Janet",F,no,NA
"
              The 40th Anniversary Churchill Fellowship (TAS) to study advances in museum diorama construction and model making techniques and materials to effectively blend historical techniques with new materials for current application - USA, U.K., Germany, Italy, A
",2006,"LOOKER, Brian",A,no,NA
"
              The Bob and June Prickett Churchill Fellowship to identify successful models of organ and tissue donation and assess promotional strategies and programmes that provide support to transplant recipients, donor families and living donors - U.K., Spain, USA'
",2006,"McMAHON AM, Simone",USA',no,USA
"
              The Peter Mitchell Churchill Fellowship to study Raptor conservation and rehabilitation techniques with emphasis on acquiring new skills in Raptor veterinary medicine and in the conservation of Raptors through education via public displays/interactions - 
",2006,"MERRY, Melissa",,no,NA
"
              To study missing persons cases with a focus on risk assessment models, investigation methods, missing persons procedures, and communication between law enforcement agencies and non-government organisations - USA, Canada, U.K., Netherlands, Hong Kong
",2006,"SAMWAYS, Mark",Hong Kong,no,China
"
              To research methods used by police and emergency services authorities for the management, preparation and delivery of effective media liaison and public information functions during and immediately following terrorist attacks - Singapore, U.K., Spain, Net
",2006,"STANBURY, Neil",Net,no,Netherlands
"
              The Dr Dorothea Sandars Churchill Fellowship to investigate and compare emergency animal disease preparedness and response arrangements with a particular focus on how plans have evolved following a significant disease outbreak - Italy, France, U.K., USA, 
",2006,"TURNER, Sharon",,no,NA
"
              The CFA of WA / Water Corporation Churchill Fellowship to investigate alternative water sources and the latest technologies to remove contaminants for water supply applications in the drought affected South West Region of Western Australia - Singapore, Ch
",2005,"HEATON, Kathryn",Ch,no,NA
"
              To liaise with law enforcement agencies currently experiencing criminal gang problems with a view to developing bi-partisan community/policing strategies to prevent the further entrenchment of criminal gangs in Victoria - USA, Canada, UK, Hong Kong
",2004,"BOYLE APM, Patrick",Hong Kong,no,China
"
              The Donald Mackay Churchill Fellowship to study approaches to people trafficking law and policy that can be applied to Australia, particularly trafficking victim support programs, law reform and co-ordination between NGO's, police and governments - Italy,
",2004,"COSTELLO, Georgina",,no,NA
"
              To research the use of interactive technologies in new media performance and dance/music theatre - USA, Spain, Finland, Sweden, Germany, Netherlands, France, U.K., Japan, Indonesia, East Timor
",2004,"EWING, Leon",East Timor,no,Timor-Leste
"
              To establish links with contemporary opera companies and other professional artistic organisations to facilitate international touring opportunities, foster co-productions and create mentorship and exchange programs - Switzerland, Austria, Germany, Nether
",2004,"KOUKIAS, Constantine",Nether,no,Netherlands
"
              The Percy Baxter Churchill Fellowship to evaluate models of dispute resolution in child protection matters and to determine the relevance and applicability of those models to the Australian judicial child protection system - U.K., USA, Switzerland, Belgiu
",2004,"MAUGHAN, Jeanette",Belgiu,no,Belgium
"
              The Gilbert Spottiswood Churchill Fellowship to research leading dance/theatre companies that specialise in work for people with disabilities, particularly theatrical practice for the inclusion of disabled artists in mainstream theatre - U.K., Belgium, Fr
",2004,"MELLIS, Gaelle",Fr,no,NA
"
              The Blakeney Millar Foundation Churchill Fellowship to assess community engagement in recreation developments on public lands with particular reference to sustainable multiple use walking tracks in natural environs bordering urban communities - USA, Canad
",2004,"POPE, Matthew",Canad,no,Canada
"
              To examine how leadership development programs attain a high level of people management skills, including supportive leadership, that builds community relations and achieves the organisational outcomes being sought - U.K., USA, Canada, New Zealand, Hong K
",2004,"SCOTT, Kevin",Hong K,no,China
"
              To examine the command, control and tactical strategies used to manage and resolve high risk and terrorist incidents to ensure successful outcomes whilst minimising the risk to the community and responding police - Israel, U.K., Ireland, Spain, USA, Hong 
",2004,"WAUGH APM, Robert",Hong,no,China
"
              To investigate appeal mechanisms available to asylum seekers with the aim of improving their access to the Australian legal system with emphasis on statutory and convention interpretation, research methodology and procedural fairness principles - Switzerl
",2003,"KARLSEN, Elibritt",Switzerl,no,Switzerland
"
              The Jack Green Churchill Fellowship to study a variety of feeding regimes within the international dairy industry, particularly processes employed to minimise the environmental (and other) effects of highly intensive dairying systems - Netherlands, Italy,
",2003,"LISLE (NOW YOUNG), Anthea",,no,NA
"
              To develop procedures used when dealing with persons suffering from mental illness with emphasis on ensuring ethical, cost effective use of resources and preserving the safety and dignity of those affected by this growing illness - New Zealand, USA, Canad
",2003,"LOUGHLAND, Paul",Canad,no,Canada
"
              To identify those aspects of religious diversity which have a direct relevance to operational policing in an increasingly diverse society with the aim of helping police become more responsive to individual, significant religious issues - Sweden, Germany, 
",2003,"PILMER, James",,no,NA
"
              To examine how communities, governments and agencies are dealing with the allocation, transfer and rehabilitation of scarce water resources in the context of escalating demands from competing user groups and declining river health - USA, U.K., Spain, Swit
",2003,"QUINN, Peter",Swit,no,Switzerland
"
              To study intervention programs for the management of aggression in boys and young men (10 - 25 years) - USA, Canada, Netherlands, U.K., Ireland
",2003,"SHANAHAN, Richard",25 years) - USA,no,NA
"
              To investigate new developments in desalination and wastewater recovery membrane treatment techniques, particularly focusing on minimising energy consumption, energy recovery systems and chemical use and process waste reduction - USA, Canada, United Arab 
",2003,"TARR, Richard",United Arab,no,United Arab Emirates
"
              To study skills programs, advances and innovations in outdoor education courses at High Ropes Schools and other institutions aimed at the education of the ""self"" through adventure oriented experiences, particularly those which deal with ""at risk"" youth - 
",2003,"TAYLOR, David",,no,NA
"
              The James Love Churchill Fellowship to study jewellery design for application to uniquely Australian gems and materials such as opals, argyle diamonds, Broome pearls and sapphires in settings incorporating emu leather, crocodile and barramundi skin - USA,
",2003,"TULLY, Bruce",,no,NA
"
              To study the latest sustainable technology for growing custard apples and the related cherimoya from the world's biggest three producers of these crops, and access germplasm for use in our Australian custard apple breeding programme - South America, Spain
",2002,"BROADLEY, Roger",South America,no,NA
"
              To investigate structures, systems, programmes and courses that produce or enhance Environmental Leadership - U.K., Netherlands, Frankfurt, Switzerland
",2002,"GRANT, Jim",Frankfurt,no,Germany
"
              To investigate and evaluate the suitability of educational programmes and professional services provided to support individuals with dyslexia, their families and teachers by non-profit organisations - U.K., USA, Canada (Partially sponsored by Department of Education)
",2002,"HAMMOND AM, Lorraine",Canada (Partially sponsored by Department of Education),no,Canada
"
              To study law enforcement based strategies and programmes that are in place to prevent and reduce the increasing incidence of fatalities and injury accidents involving heavy vehicles with emphasis on community policing and technology - New Zealand, USA, Ca
",2002,"KIRKPATRICK, Cameron",Ca,no,NA
"
              To examine the implementation and results of government action in a situation where a government policy of reduction in native timber harvesting has brought about large scale economic and social restructuring of regional communities - Canada, USA, New Zea
",2002,"LONEY, John",New Zea,no,New Zealand
"
              The James Love Churchill Fellowship to explore the conceptual structure of a future school and the role of a Principal in an online environment with emphasis on the potential social impact of online learning communities in rural and remote areas - USA, Ca
",2002,"McKAY, Ian",Ca,no,NA
"
              The Mr and Mrs Gerald Frank New Churchill Fellowship to study person-centred ways of caring for people with dementia with emphasis on differing models of care, physical environments, activities and measurement tools for promoting wellbeing - USA, Canada, 
",2002,"PENNING, Carol",,no,NA
"
              To undertake a study of retail civil recovery programmes and legislation - NZ, USA, U.K.
",2002,"RINGIN, Renata",NZ,no,New Zealand
"
              To promote and investigate strategies to develop the literacy skills of deaf students within a bilingual (Auslan/English) P - 12 educational setting - USA
",2002,"REES, Julie",12 educational setting - USA,no,USA
"
              The Swire Group Churchill Fellowship to gain a better understanding of European cotton production and future technology, management options in regard to GMO and its implications for Australian cotton in the long-term - Belgium, Spain, Greece,
",2002,"WHITE, Katrina",,no,NA
"
              To study programmes aimed at increasing the number of young people who choose to stay in, or enter into, agriculture as a career alternative as well as identifying techniques for capacity building and promoting self determination and networking - USA, Can
",2002,"WILKES, Belinda",Can,no,NA
"
              To investigate community, government, academic and independent research organisations where models, tools and policy development programmes are centred on resource recovery, waste avoidance and community enterprise development - UK, Germany, Belgium, Aust
",2001,"BUCHHORN, Miriam",Aust,no,NA
"
              The Family and Children's Services WA Churchill Fellowship to study effective intervention in breaking the intergenerational drugs/poverty cycle and to gain further knowledge on the connection between parental drug use, economic poverty and child abuse - 
",2001,"CAMINS, Kate",,no,NA
"
              To examine beef marketing, feeding and breeding - Japan, Korea, Philippines, Malaysia, Indonesia
",2001,"DENT, Robert",Korea,no,South Korea
"
              To study the integration of light agricultural aircraft into bushfire suppression operations - USA, South America, Canada.
",2001,"DICKER, Ian",South America,no,NA
"
              To examine the implications of government and non-government funding of universities - USA, UK, Italy, France, Hong Kong
",2001,"GLENN, Brok",Hong Kong,no,China
"
              The Swire Group Churchill Fellowship to investigate the latest trends and methods in the feedlotting of beef and lamb, with particular emphasis on environmental sustainability, nutritional supplements and disease control - USA, UK, France, Germany, Middle
",2001,"GRANT, Anthony",Middle,no,NA
"
              The A.V. Jennings Churchill Fellowship to investigate established community based sustainable urban development which can be applied in the planning, design and construction of public housing projects in Queensland - Sweden, Denmark, Netherlands, Germany,
",2001,"HAMMONDS, Andrew",,no,NA
"
              To forge alliances and investigate strategies to support the study of Asian cultures in countries with similar education structures and needs to Australia - Korea, Japan, USA, Canada, UK
",2001,"KIRBY, Kathleen",Korea,no,South Korea
"
              The Percy Baxter Churchill Fellowship to evaluate current techniques in the detection and fingerprinting of major bacterial species which cause food poisoning with a view to incorporating the most relevant techniques as routine laboratory tests - USA, UK,
",2001,"LIGHTFOOT, Diane",,no,NA
"
              To investigate the on-farm/educational delivery of vocational training in aquaculture - USA, Canada, UK, New Zealand, Hong Kong
",2001,"NIELSEN, Ian",Hong Kong,no,China
"
              The James Love Churchill Fellowship to assess the CAMPFIRE model which involves rural communities in conservation and development by returning to them the stewardship of their natural resources making wildlife a valuable resource - South Africa, Namibia, 
",2001,"NURSEY-BRAY, Melissa",,no,NA
"
              To study security measures to maintain the safety and integrity of court staff, clients and its associated environment thus ensuring the uninterrupted functioning of the independent judicial process - USA, Canada, Ireland, Italy, Israel, Hong Kong, UK
",2001,"ROWLEY, Colin",Hong Kong,no,China
"
              The Donald Mackay Churchill Fellowship to review Asset Confiscation (Proceeds of Crime) Management Models in international police jurisdictions in order to identify an effective model for implementation in the Australian criminal justice system - Canada, 
",2001,"SHERIDAN, Kevin",,no,NA
"
              The Waterwatch Australia Churchill Fellowship to enhance the impact of Waterwatch and river health monitoring activities, particularly innovative partnerships between the community, government and industry that have led to good river health outcomes - UK,
",2001,"STOCKWELL, Brian",,no,NA
"
              To enable completion of a work of national biography ""Lives of the Australian Chief Justices (1824-1900)"" - UK, Bermuda, St Kitts
",2000,"BENNETT, John",St Kitts,no,NA
"
              The Northern Districts Education Centre (Sydney) Churchill Fellowship to investigate ways to monitor, analyse and report progress in student achievement - Netherlands, USA, Canada, Denmark, Hong Kong
",2000,"BRUNIGES, Michele",Hong Kong,no,China
"
              To investigate ways to improve the commercial production and development of Australian plants - France, Italy Spain, Portugal, Morocco, USA
",2000,"DELAPORTE, Kate",Italy Spain,no,Spain
"
              To investigate ways to improve the commercial production and development of Australian plants - France, Italy Spain, Portugal, Morocco, USA
",2000,"DELAPORTE, Kate",Italy Spain,no,Italy
"
              The Samual and Eileen Gluyas Churchill Fellowship to study the design, planning and conduct of artificial insemination programmes of cattle in tropical environments - USA, South America
",2000,"FAHEY, Geoffrey",South America,no,NA
"
              To study alpaca fibre production and processing - USA, South America
",2000,"HENRY, Nicholas",South America,no,NA
"
              To investigate ways to combat organised crime, in particular, money laundering via alternative remittance and underground banking systems - Hong Kong, Singapore, UK, France, Italy, USA, Canada
",2000,"HOWLETT, Christine",Hong Kong,no,China
"
              To investigate the applicability of the Rural Challenge Programm (RCP) to WA - USA.  Partially sponsored by WA Department of Education and Services
",2000,"PRICE, David",USA  Partially sponsored by WA Department of Education and Services,no,USA
"
              To investigate ways to counter the production and use of counterfeit documents - Hong Kong, Netherlands, UK, USA
",2000,"RINGIN, Shane",Hong Kong,no,China
"
              The Qantas Churchill Fellowship to gather information on tourism marketing strategies in Asia with particular emphasis on emerging special interest markets - Japan, Korea, Hong Kong, China, Indonesia
",2000,"SAUNDERS, Loretta",Korea,no,South Korea
"
              The Qantas Churchill Fellowship to gather information on tourism marketing strategies in Asia with particular emphasis on emerging special interest markets - Japan, Korea, Hong Kong, China, Indonesia
",2000,"SAUNDERS, Loretta",Hong Kong,no,China
"
              To study conventional and innovative rehabilitation techniques for quarries and mines - UK, USA, Canada, Hong Kong
",2000,"SLACK-SMITH, Jane",Hong Kong,no,China
"
              To undertake an overseas field collection of new genetic Rhizobium material vital for improving the growth of Australian pasture and crop legumes - South America, Zimbabwe, Malawi, Syria, India
",2000,"SLATTERY, Jo",South America,no,NA
"
              To investigate the latest pharmacological and social approaches used to combat drug addiction - Switzerland, USA (co-sponsored by the WA Drug Abuse Strategy Office)
",1999,"DUCK, Greg",USA (co-sponsored by the WA Drug Abuse Strategy Office),no,USA
"
              The Sir Vincent Fairfax Churchill Fellowship to observe methods which address the problems of elderly depression - U.K., Hong Kong, Netherlands, Norway, USA, Canada
",1999,"GIULIANO, Barbara",Hong Kong,no,China
"
              The AMP Churchill Fellowship to study current methodologies and techniques employed by international financial sector regulators - USA, Canada, U.K., Hong Kong
",1999,"KANE, Darren",Hong Kong,no,China
"
              The Mr and Mrs Gerald Frank New Churchill Fellowship to investigate systems for assessing the quality of care for dementia sufferers - U.K., Netherlands, Canada (Partially sponsored by the Brightwater Care Group Inc)
",1999,"MOORE, Virginia",Canada (Partially sponsored by the Brightwater Care Group Inc),no,Canada
"
              To study significant Pacific collections - Papua New Guinea, U.K., France, Germany USA
",1999,"SEARLE, Ross",Germany USA,no,USA
"
              To study significant Pacific collections - Papua New Guinea, U.K., France, Germany USA
",1999,"SEARLE, Ross",Germany USA,no,Germany
"
              To investigate a variety of roles local governments are adopting to facilitate the retention and promotion of affordable housing for people on low incomes - uk, netherlands, germany
",1999,"SMITH, Stephanie",uk,no,UK
"
              To investigate a variety of roles local governments are adopting to facilitate the retention and promotion of affordable housing for people on low incomes - uk, netherlands, germany
",1999,"SMITH, Stephanie",netherlands,no,Netherlands
"
              To investigate a variety of roles local governments are adopting to facilitate the retention and promotion of affordable housing for people on low incomes - uk, netherlands, germany
",1999,"SMITH, Stephanie",germany,no,Germany
"
              To study shark management techiques with particular reference to lobbying and marketing campaigns - USA, Canada (Partially sponsored by Ministry for Primary Industry: Fisheries)
",1999,"SMYTHE, John",Canada (Partially sponsored by Ministry for Primary Industry: Fisheries),no,Canada
"
              The Gallaugher Bequest Churchill Fellowship to study design principles of urban settings with particular reference to the Hobart region - New Zealand, Canada, USA, U.K., Norway, Spain, Hong Kong
",1999,"WOOLLEY, Leigh",Hong Kong,no,China
"
              To gain knowledge in order to improve the provision of ambulance services for major events such as the Olympic Games - Northern Ireland, UK, Malaysia
",1998,"FERGUSON, Daniel",Northern Ireland,no,UK
"
              To study wildlife research and management with particular reference to the use of trained dogs and satellite tracking - New Zealand, USA, Namibia, South Africa (Partially sponsored by the Department of Conservation and Land Management)
",1998,"FRIEND, Tony",South Africa (Partially sponsored by the Department of Conservation and Land Management),no,South Africa
"
              To investigate ways to improve the efficiency of the seafood industry - USA, Japan, Hong Kong, UK
",1998,"GORDON, Sam",Hong Kong,no,China
"
              To study the conduct of complex prosecutions - usa
",1998,"MCNAUGHTON, Sarah",usa,no,USA
"
              The Samuel and Eileen Gluyas Churchill Fellowship to investigate the production of disease-free seed for research purposes - India, Netherlands, USA, Columbia
",1998,"SPENCE, David",Columbia,no,Colombia
"
              To investigate ways to increase the export of fresh stone fruit - Hong Kong, Singapore, Chile, South Africa, China, Taiwan
",1998,"WELSH, Caroline",Hong Kong,no,China
"
              To study the processes of designing and printing fabrics for the quilt market - USA, Korea
",1997,"LUGG, Wendy",Korea,no,South Korea
"
              To gain experience in the management and development of Botanical Gardens - Germany, UK (Partially supported by the Royal Tasmanian Botanical Gardens)
",1996,"CANE, James",UK (Partially supported by the Royal Tasmanian Botanical Gardens),no,UK
"
              To study best practice in intelligence management with respect to Chinese organised crime - Hong Kong, UK, Netherlands, Canada, USA
",1996,"CRAIG, Mark",Hong Kong,no,China
"
              To study the provision of innovative educational and vocational programmes for juveniles in detention - USA, Canada, UK,
",1996,"DIXON, Robert",,no,NA
"
              The Sir William Kilpatrick Churchill Fellowship to develop skills in the assessment and surgical correction of craniofacial deformities - Tawain
",1995,"BREIDAHL, Alan",Tawain,no,China
"
              The AMP Churchill Fellowship to improve the quality of customer service in the insurance industry - Hong Kong, USA
",1995,"GALE, Stan",Hong Kong,no,China
"
              To visit major centres for ethical and religious education and learn the lessons of the new national curriculum - UK, Hong Kong, Netherlands, Denmark, Sweden, Germany, USA
",1995,"MACNAUGHT, Tim",Hong Kong,no,China
"
              The Bank of Queensland Churchill Fellowship to investigate the best practices for planting, growing and managing trees in cities - Singapore, Hong Kong, USA, Brazil
",1995,"PLANT, Lyndal",Hong Kong,no,China
"
              To study major de-institutionalisation and community based programmes for intellectually disabled persons - USA (Supported by the Authority for Intellectually Handicapped Persons)
",1994,"BATINI, Peter",USA (Supported by the Authority for Intellectually Handicapped Persons),no,USA
"
              To study ""Placemaking"" - Ecological design within sensitive environments - USA, Canada, UK
",1994,"BELL, Nigel",Ecological design within sensitive environments - USA,no,USA
"
              To study the Canadian mineral royalty system used in five key development provinces - Canada (Supported by the Department of Minerals)
",1994,"MEATON AM, Murray",Canada (Supported by the Department of Minerals),no,Canada
"
              To study Asian consumer requirements, business etiquette and cultural awareness imperatives to win Australia's market share in Asia - Japan, Korea, China, Hong Kong, Indonesia
",1994,"MORRISON, Wendy",Korea,no,South Korea
