"","project","year","fellow"
"28","
              To investigate new initiatives connecting student and online video creators in collaborative work - USA, UK
            ","2018","Elkington, Ruari"
"29","
              To review successful service models of firefighters providing emergency medical care to the community - Ireland, Canada, USA
            ","2018","Emery, Andrew"
"30","
              To develop a model of care for nursing patients in Australia with a diagnosis of breast cancer - USA, Canada
            ","2018","Ernst PSM, Kerryn"
"31","
              To invigorate the endangered Norfolk Island language through a pre school 'language nest' approach - New Zealand, USA, Canada, Finland
            ","2018","Evans, Suzanne"
"32","
              To investigate how shared equity can become a mainstream solution to housing affordability in Australia - UK, USA
            ","2018","Evans, Samantha"
"33","
              To enhance the standard of medical cannabis cultivation in Australian licensed facilities - Canada, Israel, Netherlands
            ","2018","Forrest, Thomas"
"34","
              The Gallaugher Bequest Churchill Fellowship to develop effective interventions that improve literacy and numeracy outcomes in Tasmanian schools - UK, Finland, USA, Canada
            ","2018","Fraser, Ganga"
"35","
              To improve women's sexual and reproductive health by optimising Intrauterine Device (IUD) usage - Sweden, UK, USA
            ","2018","Frearson, Meredith"
"36","
              To explore viable international commercial opportunities for the growth of WA Aboriginal artist careers - USA, UK, United Arab Emirates, China
            ","2018","Galatis, Emilia"
"37","
              To explore the use of virtual reality, augmented reality and 360-degree videos in journalism - USA, UK, France, Switzerland
            ","2018","Gibson, Jano"
"38","
              To undertake consultation with Aboriginal/Indigenous communities on the implementation of a Doula training program for Aboriginal women to provide cultural support to Aboriginal women who are birthing away off country/traditional lands - Canada, USA, New 
            ","2018","Gliddon, Janinne"
"39","
              To research worldwide practice to inform implementation of Victoria Police Offender Management Project - USA, Canada, UK, Ireland
            ","2018","Goldspink, Mark"
"40","
              To investigate variances of international approaches to the regulation of medical cannabis - USA, Canada, Germany, Netherlands, Austria, Israel
            ","2018","Halliday, Samuel"
"41","
              The Hort Innovation Australia Churchill Fellowship to investigate the use of horticultural QA standards to stay ahead of social license demands - New Zealand, UK, Ireland, Netherlands
            ","2018","Hazell, Belinda"
"42","
              To investigate different models of informal learning and youth-led engagement in arts organisations - USA, Canada
            ","2018","Higgins, Jo"
"43","
              The Mr and Mrs Gerald Frank New Churchill Fellowship to research the unique creative process and relationship between a choreographer and their composer - UK, Belgium, Netherlands, Germany, Israel, USA
            ","2018","Hill, Christopher"
"44","
              The NRMA-ACT Road Safety Trust Churchill Fellowship to investigate best practices to improve heavy vehicle safety in urban environments - UK, Sweden, Belgium, Luxembourg
            ","2018","Holmes, Michael"
"45","
              To observe successful methods of music education in schools and communities in North America - Canada, USA
            ","2018","Holt, Matthew"
"46","
              The Stuart and Norma Leslie Churchill Fellowship to innovate 3D motion capture methods for dance with leading UK animation studios and research centres - UK
            ","2018","Hopper, Luke Stephen"
"47","
              The Peter Mitchell Churchill Fellowship to investigate best practices for virtual reality storytelling as a tool for social impact - USA
            ","2018","Hughes, Jessie"
"48","
              To connect and inspire communities through paper sculpture projects that focus on wildlife conservation - Italy, Thailand, Singapore
            ","2018","Jan, Jasmine"
"49","
              To advance the celebration and conservation of the mid-century modern heritage of Canberra - USA
            ","2018","Jarvis, Amy Louise"
"50","
              To advance the evaluation of paediatric palliative care in the Australian Capital Territory - USA, Sweden
            ","2018","Jolly, Ashka"
"51","
              The AV Jennings Churchill Fellowship to acquire the new technology for rapid construction of resilient and low-cost houses by 3D printing - USA, El Salvador, Netherlands, Italy, Singapore, China
            ","2018","Kashani, Alireza"
"52","
              The Jack Brockhoff Foundation Churchill Fellowship to investigate integrated models of care for Aboriginal children in out-of-home care - New Zealand, Canada, USA
            ","2018","Kennedy, Niroshini"
"53","
              The Sir William Kilpatrick Churchill Fellowship to improve the quality of care of older people in our health system - USA
            ","2018","Kidd, David"
"54","
              To research how schools can change communities to create students that are ready to thrive and learn - New Zealand, UK, USA, Canada
            ","2018","King, Judith"
"55","
              The Dorothy and Brian Wilson Churchill Fellowship to explore inclusive education best-practices to eliminate barriers for students with disabilities - Italy, Spain, Portugal, Netherlands, Sweden, Norway
            ","2018","Kotz, Kendra"
"56","
              To investigate best practice for designing child-friendly high density neighbourhoods - Singapore, China, Japan, Canada, UK
            ","2018","Krysiak, Natalia"
"57","
              To investigate overseas practices of monitoring places of detention - Canada, New Zealand, UK
            ","2018","Lachsz, Andreea"
"58","
              To identify best practice for university careers services to support Indigenous students -  Canada
            ","2018","Laffernis, Farhana Sue"
"59","
              The Yulgilbar Foundation Churchill Fellowship to investigate appropriate methods for introducing kelp farming aquaculture to Australia - USA, Canada, Norway, UK, Ireland
            ","2018","Lane, Joanne"
"60","
              To strengthen Australia's digital health companies and industry using international best practice - UK, Germany, Netherlands, Finland
            ","2018","Lethlean, Grace"
"61","
              The Nancy Fairfax Churchill Fellowship to research and investigate a best practice inclusive education model for children with Autism - USA, Denmark
            ","2018","Little, Cathy"
"62","
              The James Love Churchill Fellowship to advance statistical genetics methods via collaboration with the world's best at the Broad Institute - USA
            ","2018","Lloyd-Jones, Luke"
"63","
              To explore international PICU long term outcome services and practical management strategies - USA, Canada
            ","2018","Long, Debbie"
"64","
              To explore ways children's unstructured play outdoors is effectively supported in the 'iPad-era' - Netherlands, Norway, Iceland, Finland
            ","2018","Longley, Griffin"
"65","
              To investigate human relationships to death and ceremony through alternate approaches and technologies - UK, Sweden, Czech Republic, Italy, USA, Mexico
            ","2018","Lyons, Rebecca"
"66","
              To investigate best practice Sports Science and Sports Medicine (SSSM) care of the female athlete - Japan, South Africa, Qatar, Norway, USA
            ","2018","Mahony, Kate"
"67","
              To identify successful interventions and policies promoting mental health and wellbeing in schools - USA, UK
            ","2018","Maresca, Janette"
"68","
              The Peter Mitchell Churchill Fellowship to research new, practical and effective methods to prevent sexual violence through youth education - Germany, Netherlands, UK, Ireland, Canada, USA
            ","2018","Marson, Katrina"
"69","
              To investigate innovative European waste reduction models for dissemination in Tasmania - Belgium, Sweden, UK
            ","2018","Mashman, Bradford"
"70","
              The Northern Districts Education Centre (Sydney) Churchill Fellowship to transform and streamline strategic capabilities for school infrastructure planning - USA, Sweden
            ","2018","Massey, Simon"
"71","
              The Park Family Churchill Fellowship to investigate innovative methods of equipping teenagers with essential financial skills for life - USA, Canada, UK
            ","2018","McGilvray, Phil"
"72","
              To investigate the use of recycled glass in concrete manufacturing - USA, Canada, Germany, China
            ","2018","Messer, Ryan"
"73","
              To study the use of dogs in court supporting vulnerable victims and witnesses giving evidence - USA, Canada
            ","2018","Morrison, Julie"
"74","
              To examine peer support programs to reduce mental health issues in emergency service volunteers - USA, Canada, UK
            ","2018","Murphy, Louise"
"75","
              To investigate the mental health support resources available to young adult cancer patients - USA
            ","2018","Neilson, Tessa"
"76","
              To investigate agro-tourism opportunities to encourage small farm innovation in isolated areas - France, Italy, UK
            ","2018","Nicolai, Emilee"
"77","
              The Dr Dorothea Sandars and Irene Lee Churchill Fellowship to investigate palliative care and voluntary assisted dying - Netherlands, Belgium, Germany, USA, Canada
            ","2018","O'Connor, Margaret"
"78","
              To reduce occupational cancer exposures in firefighters through improved initial decontamination - USA, UK, Sweden
            ","2018","Owen, Richard Murray"
"79","
              To explore, review and document case studies of successful private-public conservation partnerships - USA, Canada, Malawi, Rwanda
            ","2018","Page, Manda"
"80","
              To develop sustainable collection environment guidelines for Australian cultural organisations - USA, Singapore, China
            ","2018","Pagliarino, Amanda"
"81","
              To increase access to justice with design, multidisciplinary collaboration and digital innovation - Netherlands, Canada, USA
            ","2018","Perry-Petersen, Andrea Frances"
"82","
              To explore how to protect and empower financially marginalised people in big data laws and practices - USA, UK, Belgium
            ","2018","Quinn, Susan"
"83","
              The National Critical Care and Trauma Response Centre Churchill Fellowship to investigate models for improved aeromedical retrieval standards in international disaster response - USA, Switzerland, Sweden, Israel
            ","2018","Ragus, Emily"
"84","
              To investigate how therapeutic intervention for mental health and well-being can be integrated in schools - UK, Finland, USA, Canada
            ","2018","Reid, Jacqueline"
"85","
              The Australian Biological Resources Study Churchill Fellowship to learn the necessary skills to advance coral biosystematics using a total evidence approach - USA, Japan
            ","2018","Richards, Zoe"
"86","
              To investigate international lessons for public health policy and improved regulation of gambling - UK, Norway, Sweden, Finland, Switzerland
            ","2018","Rintoul, Angela"
"87","
              To explore language acquisition methodologies for research with diverse and Indigenous students - Canada, Norway, Greece, Spain
            ","2018","Rogers, Jessica"
"88","
              To improve gender equality in local government by increasing the number of elected women councillors - USA, Canada, UK, Sweden, Germany
            ","2018","Ross, Coral"
"89","
              The Paul Tys Churchill Fellowship to access world's best practice in preventing and responding to Elder Abuse in aged care and the community - UK, Canada, USA, New Zealand
            ","2018","Rowe, Geoffrey Francis"
"90","
              The Dr Lena Elizabeth McEwan and Dame Joyce Daws Churchill Fellowship to learn new techniques in the field of Plastic and Reconstructive Surgery - USA
            ","2018","Roy, Jennifer"
"91","
              To study and further my understanding in the craft of traditional Coachbuilding - UK
            ","2018","Siemsen, Robert"
"92","
              The Bob and June Prickett Churchill Fellowship to gain knowledge of glass mold making for art, craft and industrial production - Japan, Mexico, Denmark, Sweden
            ","2018","Simpson, Andrew"
"93","
              The Dame Roma Mitchell Churchill Fellowship to develop new specialised skills in historical violin performance as both performer and educator - Italy, Switzerland, France, Netherlands
            ","2018","Slattery, Simone"
"94","
              To identify leading global practice in offshore renewable regulation for adoption in Australia - UK, France, Belgium, Germany, Denmark
            ","2018","Smith, Stuart"
"95","
              To identify strategies for national agencies to improve state prison mental health systems and services - UK, Ireland, Italy, Canada, USA
            ","2018","Southalan, Louise"
"96","
              The Bob and June Prickett Churchill Fellowship to examine healthy housing initiatives in the primary prevention of Acute Rheumatic Fever - New Zealand
            ","2018","Stewart, Maida"
"97","
              To investigate strategies to support the secondary migration of refugees to regional and rural towns - Canada, USA, Germany, Italy, Norway, Sweden
            ","2018","Stump, Talia"
"98","
              To research Services for Deaf Survivors around the world and to incorporate it in Australia - USA, UK, France
            ","2018","Swann, Debra"
"99","
              To examine care frameworks, stay duration and transition plans for children requiring Secure Care - New Zealand, UK, Ireland, Sweden
            ","2018","Thompson, Kelly Marie"
"100","
              To research benchmark public art to enable Australian artists to deliver best practice outcomes - USA, UK
            ","2018","Tobin, Daniel"
"101","
              To enhance overall safety to both rescuers and those requiring rescue in remote rescue situations - Canada, USA, UK, Austria, Italy, France
            ","2018","Toman, Gregory"
"102","
              The Terry Lavender Churchill Fellowship to explore opportunities for trail destinations to attract and grow world class 'shared-use' interests - New Zealand, USA, Canada, Netherlands, Switzerland, UK
            ","2018","Trewren, Ben"
"103","
              To determine tangible initiatives and strategies to improve Culturally Diverse Leadership in Australia - USA, UK
            ","2018","Turner, Samantha"
"104","
              To investigate proven low-cost innovative water treatment solutions for regional & remote Australia - United Arab Emirates, Oman, Israel
            ","2018","Vanweydeveld, Eric"
"105","
              To investigate opportunities for advancing the art form of fine art printmaking - USA, Mexico, UK, Denmark, Italy, Singapore
            ","2018","Virgo, Anne Louise"
"106","
              To bring innovative global pharmacy practices to my rural community and improve services nationally - United Arab Emirates, UK, Ireland, Germany, Canada, USA, New Zealand
            ","2018","Walker, Lucy"
"107","
              The Rodney Warmington Churchill Fellowship to increase accessibility to public toilets by researching taboos, design, policy and legal barriers - Netherlands, Germany, UK, USA, Canada
            ","2018","Webber, Katherine"
"108","
              To learn from world's best practice water quality markets and their institutional settings - Germany, Belgium, UK, USA
            ","2018","Whiteoak, Kym"
"109","
              The Richard Rischbieth Churchill Fellowship to develop world leading reintroduction strategies for threatened South Australian aquatic species - UK, Portugal, USA
            ","2018","Whiterod, Nick"
"110","
              To investigate cases of human-wildlife conflict to improve coexistence between people and sharks - USA, South Africa
            ","2018","Wolfenden, Kim"
"111","
              To examine Disaster Victim Registration procedures and policies following an aviation emergency - China, UK, Germany, USA, New Zealand
            ","2018","Wright, Matthew"
"112","
              To investigate innovative technology solutions to connect zoo visitors with nature and grow revenue - USA, Netherlands, UK, Singapore
            ","2018","Brown, ﻿Sarah"
"113","
              To gain expertise in diagnosis, treatment and prevention of women's cardiovascular disease - USA
            ","2017","Arnott, Clare"
"114","
              To explore next generation cell processing techniques to advance Australian cell based therapeutics - Germany
            ","2017","Baldwin, Jeremy"
"115","
              The Northern Districts Education Centre (Sydney) Churchill Fellowship to identify the most beneficial implementation of EV3 robotics into STEM educational programs - USA, UK, Denmark, Japan, South Korea, China, Singapore
            ","2017","Baranski, Richard"
"116","
              To examine leading dispute resolution practices upon cross-cultural family breakdown - Singapore, Malaysia, Hong Kong, Japan, Canada
            ","2017","Barr, Stuart "
"117","
              The Donald Mackay Churchill Fellowship to understand the methods, risks and benefits of the international deployment of human sources - USA, Canada, UK, Netherlands, New Zealand
            ","2017","Bartlett, David"
"118","
              To combat violent extremism by exploring international 'alternative narrative' approaches - Germany, Netherlands, Belgium, UK, Turkey, Greece
            ","2017","Bedford, Kavita"
"119","
              To develop improved electrolytes to enable the lithium metal electrode for high energy batteries - Germany, UK
            ","2017","Best, Adam"
"120","
              To investigate successful resident participation strategies in neighbourhood renewal of public housing - UK, Ireland
            ","2017","Blake, Julie "
"121","
              To investigate the best new global models of visitor accessibility and experience at heritage sites - UK, Denmark, USA, Canada
            ","2017","Butler-Bowdon, Caroline"
"122","
              To learn the latest 3D printing solutions for the treatment of children with bone deformities - USA, Belgium
            ","2017","Carty, Christopher"
"123","
              To enhance best practice inspection methodologies for oversight bodies with an Optional Protocol to the Convention Against Torture focus - UK, Norway, Switzerland, Malta, Greece, New Zealand
            ","2017","Caruana, Steven "
"124","
              To investigate convergent technology research for application in remote Indigenous media space - India, Canada, USA
            ","2017","Cattoni, Rita"
"125","
              To identify safe pathways for refugees and asylum seekers - Italy, Switzerland, Germany, Brazil, Canada, USA
            ","2017","Cousins, Stephanie"
"126","
              To investigate successful cycling policies and programs in regional centres and smaller cities - UK, Netherlands, Denmark, Sweden, France, Norway
            ","2017","Cruickshank, Josephine"
"127","
              To gather knowledge to expand the successful and unique model of the Newborn Intensive Care Foundation - UK, Netherlands, New Zealand
            ","2017","Cursley, Peter"
"128","
              The AV Jennings Churchill Fellowship to investigate the key elements of successful cohousing and how they can benefit the community - UK, Denmark, Germany, Sweden, USA
            ","2017","Dannock, Jackson "
"129","
              To investigate early intervention in mental illnesses for serving police and peer support for former police employees - USA, Canada, UK, Hong Kong
            ","2017","Dean, Greg"
"130","
              The James Love Churchill Fellowship to research and apply best practice on Indigenous governance and leadership models - USA, Canada, New Zealand
            ","2017","Deshong, Michelle"
"131","
              The Mr and Mrs Gerald Frank New Churchill Fellowship to study European percussion music creation/performance, research methodologies and pedagogy - Germany, France, Switzerland, UK
            ","2017","Devenish, Louise"
"132","
              To progress contemporary Australian music by exploring performer-composer relationships globally - USA, Netherlands, UK
            ","2017","Di Marco, Emma "
"133","
              To explore the care and support available to women with female genital mutilation during pregnancy - UK, Ireland, Switzerland, Belgium
            ","2017","Diaz, Monica"
"134","
              To study specialised building design of homes/work places for individuals on the autism spectrum - USA, France, Netherlands, Denmark, UK
            ","2017","Dival, Michelle (Shelly)"
"135","
              The Dr Dorothea Sandars and Irene Lee Churchill Fellowship to identify and develop guidelines for best practice paediatric hospital bereavement care services - USA, Canada, UK, Ireland, Sweden, South Africa
            ","2017","Donovan, Leigh"
"136","
              To investigate and research effective Drug Court initiatives - USA, Canada, Ireland, New Zealand
            ","2017","Donovan, Cherise"
"137","
              To gain direct experience of international media production, marketing and audience engagement - USA, UK
            ","2017","Doran, Niall"
"138","
              To ensure fake news and extremism don't distort debate while ensuring a diversity of voices - USA
            ","2017","Epstein, Rafael"
"139","
              To investigate best practice in managing violent behaviour in schools including preventative programs - Canada, Finland, UK, Ireland
            ","2017","Evans, Jacinta "
"140","
              To develop military doctrine on Maritime Trade Operations employment to protect trade interests - UK, Greece, Germany, Portugal, USA
            ","2017","Ewington, Fiona "
"141","
              The Lord Mayor's Bushfire Appeal Churchill Fellowship to create close partnerships with and jobs for traditional owners in fire and land management - USA, Canada
            ","2017","Falconer, Scott "
"142","
              To build a citizen-science program for understanding and conserving Queensland's unique avian biodiversity - South Africa, UK, Germany, Switzerland, USA
            ","2017","Feeney, William"
"143","
              The Leslie (Les) J. Fleming Churchill Fellowship to investigate sustainable methods of improving the health and well-being of rural cancer survivors - USA, Netherlands
            ","2017","Fennell, Kate"
"144","
              To investigate keystone antimicrobial resistance surveillance initiatives of benefit to Australia - Switzerland, Sweden, UK, USA
            ","2017","George, Robert"
"145","
              To investigate programs that support the transition of young people in foster care into university - UK, Hungary, Spain, USA
            ","2017","Glushko, Anastasia"
"146","
              The Gallaugher Bequest Churchill Fellowship to investigate First Nations curriculum and pedagogy and apply the findings in the Tasmanian context - New Zealand, USA, Canada, Finland
            ","2017","Grover, Adam"
"147","
              To investigate and understand approaches to workplace suicide prevention and mental health globally - Switzerland, Denmark, UK, USA, New Zealand
            ","2017","Gullestrup, Jorgen"
"148","
              To investigate global best practice character development strategies for adolescent males - Canada, USA, UK
            ","2017","Haines, Jon"
"149","
              To investigate the role of women in violent Islamist extremism - USA, Canada, Netherlands, France, UK
            ","2017","Handyside, Bianca"
"150","
              To learn how music-oriented regional festivals can be authentic, community-inclusive and sustainable - UK
            ","2017","Hardcastle, Adam "
"151","
              The NRMA-ACT Road Safety Trust Churchill Fellowship to identify global best practice policy regarding autonomous vehicles for Australia - USA, France, Germany, Japan
            ","2017","Harrington, Alexandra"
"152","
              The Dr Dorothea Sandars Churchill Fellowship to improve the effectiveness of bowel cancer screening in Australia using next generation testing - USA, UK
            ","2017","He, Emily"
"153","
              To investigate and learn from startup accelerators and innovation ecosystems - Israel, Netherlands, Sweden, Germany, UK, India, China, Singapore
            ","2017","Heap, Toby"
"154","
              To develop an internet treatment program for children with persistent pain in regional Australia - Sweden, UK, Canada, USA
            ","2017","Hilyard, Anna"
"155","
              To investigate best practice methods and support models to assist male survivors of child sexual abuse - New Zealand, USA, UK, Ireland
            ","2017","Hughes-Cashmore, Craig "
"156","
              The Paul Tys Churchill Fellowship to improve care and residential environments for people living with younger onset dementia - UK, Netherlands, Belgium, Italy
            ","2017","Jamieson, Sarah"
"157","
              To learn advanced snare drum techniques from leading educators in order to teach Northern Territory students - USA
            ","2017","Jansen, Greg"
"158","
              To study the Japanese art of Kintsugi and explore successful models of gallery spaces for ceramics - Japan
            ","2017","Johnson, Kylie"
"159","
              To look at best practice methods to support victims of domestic violence from the Indian subcontinent - Singapore, Malaysia, UK, Canada, USA
            ","2017","Khan, Yasmin"
"160","
              The Gilbert Spottiswood Churchill Fellowship to research theatre in post conflict communities and how it can inform my work in Indigenous communities - UK, Ireland, Indonesia
            ","2017","Knox, Gwendolyn "
"161","
              To research eco leather, sustainable design and further develop the 'Art of Shoemaking' - Netherlands, UK, Spain, Italy
            ","2017","Kranz, Marlene"
"162","
              To investigate the regulation of clean, smart, customer-centric energy networks - USA, UK, Belgium, France, Germany
            ","2017","Kuiper, Gabrielle"
"163","
              To investigate transition programs from school to work for students with disability - USA, UK, Ireland
            ","2017","Lawson, Robert"
"164","
              To develop a novel imaging-guided precision medicine for glioblastoma multiforme - China
            ","2017","Li, Li"
"165","
              To review state-of-the-art approaches to food innovation for value-added, convenient, healthy foods - Ireland, UK, Netherlands, Italy, Switzerland
            ","2017","MacTavish-West, Hazel"
"166","
              To investigate Indigenous health education for general practitioner trainees - New Zealand, Canada
            ","2017","Madden, Jessica"
"167","
              To witness sustainable prison projects in order to implement better work practices - USA
            ","2017","Maddock, Dean"
"168","
              To discover innovative methods for embedding Indigenous content and teaching into psychology degrees - New Zealand, USA, Canada
            ","2017","Mahmut, Mehmet"
"169","
              The Mr and Mrs Gerald Frank New Churchill Fellowship to study the techniques and further develop my skills to become a high horn player - USA, Germany, Austria, UK
            ","2017","Manuel, Lauren"
"170","
              To conduct a global investigation into affirmative action gender equity programs in the film industry - USA, Sweden, UK, Canada, China
            ","2017","Mathisen, Sophie"
"171","
              The Peter Mitchell Churchill Fellowship to research international models for reducing food waste - New Zealand, UK, Denmark, USA, United Arab Emirates
            ","2017","May, Sarah"
"172","
              To improve military spouse career and employment assistance and outcomes in Australia - USA, Canada, UK
            ","2017","McCue, Amanda"
"173","
              To advance and exchange our knowledge of Australian raptor rehabilitation and release techniques - USA, Canada, UK, United Arab Emirates, South Africa
            ","2017","McDonald, Peggy"
"174","
              The Jack Brockhoff Foundation Churchill Fellowship to determine the feasibility of implementing a volunteer model of patient navigators in cancer care - USA, Canada, UK
            ","2017","McDonald, Geraldine"
"175","
              To research screenwriting tenets within playwriting contexts and institutions with playwriting courses - UK, Canada, USA
            ","2017","McKenzie, Sally"
"176","
              To investigate and learn how to best treat post-traumatic stress disorder in a residential setting - Netherlands, UK, USA
            ","2017","Meysner, Larissa"
"177","
              To investigate non-clinical factors associated with high pre-hospital cardiac arrest survival rates - Netherlands, Germany, Finland, Denmark, USA, Canada
            ","2017","Mihaly, Matthew"
"178","
              To increase recycling and reprocessing of plastics in Australia - UK, Belgium, Germany, Malaysia
            ","2017","Millicer, Helen"
"179","
              The Bob and June Prickett Churchill Fellowship to examine the impact of music-based interventions for communities that experience significant trauma - USA, Ireland
            ","2017","Mizrahi, Netanela"
"180","
              The Park Family Churchill Fellowship to study the near lost art of Tinsmithing - USA, Canada, UK, Ireland
            ","2017","Morgan, Rebecca"
"181","
              To investigate and design new, innovative approaches to grow and market Indigenous tourism experiences - USA, Canada, New Zealand
            ","2017","Morton, Kathryn"
"182","
              The Nancy Fairfax Churchill Fellowship to optimise digital technology learning and skills in primary schools - USA
            ","2017","Mulcahy, Marcus"
"183","
              The John Hartley Churchill Fellowship to investigate ways to increase employment of Indigenous women as rangers - India, Nepal, South Africa, Kenya, USA, Canada, New Zealand
            ","2017","Mules, Penelope"
"184","
              To examine the impact of principal preparation programs in preparing leaders for the role of principal - Singapore, UK, Denmark, Norway, USA
            ","2017","Nairn, Robert"
"185","
              The Stuart and Norma Leslie Churchill Fellowship to further my Shakespeare studies in order to become a distinguished Shakespearean performance teacher - UK, USA
            ","2017","Neave, Veronica"
"186","
              To research new, practical methods to fight law enforcement corruption by organised crime - Hong Kong, Austria, Lithuania, Estonia, Finland
            ","2017","Nixon, Carolyn"
"187","
              The Sir William Kilpatrick Churchill Fellowship to research new content and electronic delivery of training for Prader-Willi Syndrome for city, regional and remote communities - USA
            ","2017","O'Brien, James"
"188","
              The Jack Brockhoff Foundation Churchill Fellowship to gain new knowledge regarding 3D-printed hand prostheses - USA, Brazil, UK, Netherlands
            ","2017","O'Brien, Lisa"
"189","
              To explore best practice in retaining students who are first-in-family to attend university - UK, Canada, USA
            ","2017","O'Shea, Sarah"
"190","
              To explore the use of online dispute resolution to resolve civil disputes - Canada, USA, UK, Netherlands, France
            ","2017","Palmgren, Katarina"
"191","
              To explore the impact of continental drift and climate change on Southern Hemisphere dinosaur faunas - Argentina
            ","2017","Poropat, Stephen "
"192","
              The Department of Health Churchill Fellowship to investigate how routinely collected GP electronic medical record data can be used to improve patient care - UK, Netherlands
            ","2017","Radford, Jan"
"193","
              To identify more effective personal and institutional giving to women and girls - USA, Belgium, Denmark, Germany, UK
            ","2017","Reilly, Julie"
"194","
              To reduce incidents of drowning particularly amongst young children - Switzerland, Belgium, Sweden, Norway, Finland, Denmark, Philippines, New Zealand
            ","2017","Reynolds, Paul"
"195","
              The Jack Green Churchill Fellowship to modernise milk price models and manage price risk in the Australian dairy market - Netherlands, UK, Ireland, USA, New Zealand
            ","2017","Roache, Tim"
"196","
              To investigate a model for policing, employment and empowerment for remote Indigenous communities - Canada, USA
            ","2017","Roberts, Paul"
"197","
              To develop a workplace policing model which builds flexibility, fairness and equity - Ireland, UK, Austria, Iceland, Norway
            ","2017","Robertson APM, Debra"
"198","
              To investigate if supported decision making will reduce elder financial abuse in Australia - UK, Canada
            ","2017","Roche, Brian"
"199","
              The Dr Dorothea Sandars and Irene Lee Churchill Fellowship to investigate the molecular cues that drive age-related muscle wasting using Killifish - Germany 
            ","2017","Ruparelia, Avnika"
