"","X1","project","year","fellow","region","match"
"27",8,"
              The Jack Green Churchill Fellowship to determine effective nutritional management strategies for BCS in intensively housed dairy farms - USA, Saudi Arabia
",2018,"Brown, Daniel","Saudi Arabia","yes"
"28",9,"
              To reduce implicit bias errors in Police decision-making, particularly in time sensitive incidents - UK, USA, Canada, New Zealand
",2018,"Brown, Courtney","UK","yes"
"29",9,"
              To reduce implicit bias errors in Police decision-making, particularly in time sensitive incidents - UK, USA, Canada, New Zealand
",2018,"Brown, Courtney","USA","yes"
"30",9,"
              To reduce implicit bias errors in Police decision-making, particularly in time sensitive incidents - UK, USA, Canada, New Zealand
",2018,"Brown, Courtney","Canada","yes"
"31",9,"
              To reduce implicit bias errors in Police decision-making, particularly in time sensitive incidents - UK, USA, Canada, New Zealand
",2018,"Brown, Courtney","New Zealand","yes"
"32",10,"
              To improve Food Rescue in Australia by examining best practices globally - UK, Ireland, France, Denmark, USA, Canada
",2018,"Carson, Simone","UK","yes"
"33",10,"
              To improve Food Rescue in Australia by examining best practices globally - UK, Ireland, France, Denmark, USA, Canada
",2018,"Carson, Simone","Ireland","yes"
"34",10,"
              To improve Food Rescue in Australia by examining best practices globally - UK, Ireland, France, Denmark, USA, Canada
",2018,"Carson, Simone","France","yes"
"35",10,"
              To improve Food Rescue in Australia by examining best practices globally - UK, Ireland, France, Denmark, USA, Canada
",2018,"Carson, Simone","Denmark","yes"
"36",10,"
              To improve Food Rescue in Australia by examining best practices globally - UK, Ireland, France, Denmark, USA, Canada
",2018,"Carson, Simone","USA","yes"
"37",10,"
              To improve Food Rescue in Australia by examining best practices globally - UK, Ireland, France, Denmark, USA, Canada
",2018,"Carson, Simone","Canada","yes"
"38",11,"
              To learn the finer points of the English Saddle, Harness and Collar making - UK
",2018,"Castles, Peter","UK","yes"
"39",12,"
              The Donald Mackay Churchill Fellowship to prevent the risks and rise of Violent Extremism in Australia - Canada, UK, Norway, Germany, Switzerland
",2018,"Cheng, Alpha","Canada","yes"
"40",12,"
              The Donald Mackay Churchill Fellowship to prevent the risks and rise of Violent Extremism in Australia - Canada, UK, Norway, Germany, Switzerland
",2018,"Cheng, Alpha","UK","yes"
"41",12,"
              The Donald Mackay Churchill Fellowship to prevent the risks and rise of Violent Extremism in Australia - Canada, UK, Norway, Germany, Switzerland
",2018,"Cheng, Alpha","Norway","yes"
"42",12,"
              The Donald Mackay Churchill Fellowship to prevent the risks and rise of Violent Extremism in Australia - Canada, UK, Norway, Germany, Switzerland
",2018,"Cheng, Alpha","Germany","yes"
"43",12,"
              The Donald Mackay Churchill Fellowship to prevent the risks and rise of Violent Extremism in Australia - Canada, UK, Norway, Germany, Switzerland
",2018,"Cheng, Alpha","Switzerland","yes"
"44",13,"
              The Department for Child Protection and Family Support Churchill Fellowship to understand the mechanisms which enable effective cross-sector intervention for vulnerable children - New Zealand, USA, Canada
",2018,"Chicote, Karina","New Zealand","yes"
"45",13,"
              The Department for Child Protection and Family Support Churchill Fellowship to understand the mechanisms which enable effective cross-sector intervention for vulnerable children - New Zealand, USA, Canada
",2018,"Chicote, Karina","USA","yes"
"46",13,"
              The Department for Child Protection and Family Support Churchill Fellowship to understand the mechanisms which enable effective cross-sector intervention for vulnerable children - New Zealand, USA, Canada
",2018,"Chicote, Karina","Canada","yes"
"47",14,"
              To create fairness and accountability in the use of government decision making algorithms - UK, Belgium, Austria
",2018,"Churches, Owen","UK","yes"
"48",14,"
              To create fairness and accountability in the use of government decision making algorithms - UK, Belgium, Austria
",2018,"Churches, Owen","Belgium","yes"
"49",14,"
              To create fairness and accountability in the use of government decision making algorithms - UK, Belgium, Austria
",2018,"Churches, Owen","Austria","yes"
"50",15,"
              To explore inclusive music programs, venues and festivals which actively engage disabled people - USA, UK, Ireland
",2018,"Collett, Morwenna","USA","yes"
"51",15,"
              To explore inclusive music programs, venues and festivals which actively engage disabled people - USA, UK, Ireland
",2018,"Collett, Morwenna","UK","yes"
"52",15,"
              To explore inclusive music programs, venues and festivals which actively engage disabled people - USA, UK, Ireland
",2018,"Collett, Morwenna","Ireland","yes"
"53",16,"
              To establish best practice for a regulatory framework to create equality through discrimination law - Sweden, UK, USA
",2018,"Cooper, Aimee","Sweden","yes"
"54",16,"
              To establish best practice for a regulatory framework to create equality through discrimination law - Sweden, UK, USA
",2018,"Cooper, Aimee","UK","yes"
"55",16,"
              To establish best practice for a regulatory framework to create equality through discrimination law - Sweden, UK, USA
",2018,"Cooper, Aimee","USA","yes"
"56",17,"
              The Leslie (Les) J. Fleming Churchill Fellowship to undertake expert training in pre-clinical evaluation of implantable sensors for cancer diagnostics - USA
",2018,"Corrie, Simon","USA","yes"
"57",18,"
              The Jack Brockhoff Foundation Churchill Fellowship to investigate new approaches to strengthen social connection of newly-arrived health workers in rural Australia - Canada
",2018,"Cosgrave, Catherine","Canada","yes"
"58",19,"
              The Samuel and Eileen Gluyas Churchill Fellowship to increase the domestic marketability of Brahman cattle through improved marketing and genetics - USA
",2018,"Cruwys, Rachael","USA","yes"
"59",20,"
              The Dr Dorothea Sandars and Irene Lee Churchill Fellowship to access and redistribute world-class microplastic research to enhance Australia's research profile - UK
",2018,"Dawson, Amanda","UK","yes"
"60",21,"
              To examine the operating models of international homicide squads to build our national capability - China, Germany, UK, USA, Canada
",2018,"Day, Timothy","China","yes"
"61",21,"
              To examine the operating models of international homicide squads to build our national capability - China, Germany, UK, USA, Canada
",2018,"Day, Timothy","Germany","yes"
"62",21,"
              To examine the operating models of international homicide squads to build our national capability - China, Germany, UK, USA, Canada
",2018,"Day, Timothy","UK","yes"
"63",21,"
              To examine the operating models of international homicide squads to build our national capability - China, Germany, UK, USA, Canada
",2018,"Day, Timothy","USA","yes"
"64",21,"
              To examine the operating models of international homicide squads to build our national capability - China, Germany, UK, USA, Canada
",2018,"Day, Timothy","Canada","yes"
"65",22,"
              To explore victim-centred restorative justice programs for sexual assault and personal violence - USA, Canada, UK, Netherlands, Denmark, New Zealand
",2018,"Deakin-Greenwood, Thea","USA","yes"
"66",22,"
              To explore victim-centred restorative justice programs for sexual assault and personal violence - USA, Canada, UK, Netherlands, Denmark, New Zealand
",2018,"Deakin-Greenwood, Thea","Canada","yes"
"67",22,"
              To explore victim-centred restorative justice programs for sexual assault and personal violence - USA, Canada, UK, Netherlands, Denmark, New Zealand
",2018,"Deakin-Greenwood, Thea","UK","yes"
"68",22,"
              To explore victim-centred restorative justice programs for sexual assault and personal violence - USA, Canada, UK, Netherlands, Denmark, New Zealand
",2018,"Deakin-Greenwood, Thea","Netherlands","yes"
"69",22,"
              To explore victim-centred restorative justice programs for sexual assault and personal violence - USA, Canada, UK, Netherlands, Denmark, New Zealand
",2018,"Deakin-Greenwood, Thea","Denmark","yes"
"70",22,"
              To explore victim-centred restorative justice programs for sexual assault and personal violence - USA, Canada, UK, Netherlands, Denmark, New Zealand
",2018,"Deakin-Greenwood, Thea","New Zealand","yes"
"71",23,"
              To investigate how organisations can provide purpose and reintegration opportunities for veterans - USA
",2018,"Dobson, Mark","USA","yes"
"72",24,"
              To develop a systemic approach to juror support programs in Australia - Canada, USA, UK
",2018,"Dore, Paul","Canada","yes"
"73",24,"
              To develop a systemic approach to juror support programs in Australia - Canada, USA, UK
",2018,"Dore, Paul","USA","yes"
"74",24,"
              To develop a systemic approach to juror support programs in Australia - Canada, USA, UK
",2018,"Dore, Paul","UK","yes"
"75",25,"
              The Elvie Munday Churchill Fellowship to investigate factors that enable school lunch programs to impact positively on student health and wellbeing - UK, Netherlands, France, Finland, USA, Japan
",2018,"Dunbabin, Julie","UK","yes"
"76",25,"
              The Elvie Munday Churchill Fellowship to investigate factors that enable school lunch programs to impact positively on student health and wellbeing - UK, Netherlands, France, Finland, USA, Japan
",2018,"Dunbabin, Julie","Netherlands","yes"
"77",25,"
              The Elvie Munday Churchill Fellowship to investigate factors that enable school lunch programs to impact positively on student health and wellbeing - UK, Netherlands, France, Finland, USA, Japan
",2018,"Dunbabin, Julie","France","yes"
"78",25,"
              The Elvie Munday Churchill Fellowship to investigate factors that enable school lunch programs to impact positively on student health and wellbeing - UK, Netherlands, France, Finland, USA, Japan
",2018,"Dunbabin, Julie","Finland","yes"
"79",25,"
              The Elvie Munday Churchill Fellowship to investigate factors that enable school lunch programs to impact positively on student health and wellbeing - UK, Netherlands, France, Finland, USA, Japan
",2018,"Dunbabin, Julie","USA","yes"
"80",25,"
              The Elvie Munday Churchill Fellowship to investigate factors that enable school lunch programs to impact positively on student health and wellbeing - UK, Netherlands, France, Finland, USA, Japan
",2018,"Dunbabin, Julie","Japan","yes"
"81",26,"
              To accelerate the integration of ""Smart Mobility"" to enable more liveable Australian communities - USA, Canada, Japan, South Korea, Netherlands, Spain, UK, South Africa
",2018,"Eather, Zoe","USA","yes"
"82",26,"
              To accelerate the integration of ""Smart Mobility"" to enable more liveable Australian communities - USA, Canada, Japan, South Korea, Netherlands, Spain, UK, South Africa
",2018,"Eather, Zoe","Canada","yes"
"83",26,"
              To accelerate the integration of ""Smart Mobility"" to enable more liveable Australian communities - USA, Canada, Japan, South Korea, Netherlands, Spain, UK, South Africa
",2018,"Eather, Zoe","Japan","yes"
"84",26,"
              To accelerate the integration of ""Smart Mobility"" to enable more liveable Australian communities - USA, Canada, Japan, South Korea, Netherlands, Spain, UK, South Africa
",2018,"Eather, Zoe","South Korea","yes"
"85",26,"
              To accelerate the integration of ""Smart Mobility"" to enable more liveable Australian communities - USA, Canada, Japan, South Korea, Netherlands, Spain, UK, South Africa
",2018,"Eather, Zoe","Netherlands","yes"
"86",26,"
              To accelerate the integration of ""Smart Mobility"" to enable more liveable Australian communities - USA, Canada, Japan, South Korea, Netherlands, Spain, UK, South Africa
",2018,"Eather, Zoe","Spain","yes"
"87",26,"
              To accelerate the integration of ""Smart Mobility"" to enable more liveable Australian communities - USA, Canada, Japan, South Korea, Netherlands, Spain, UK, South Africa
",2018,"Eather, Zoe","UK","yes"
"88",26,"
              To accelerate the integration of ""Smart Mobility"" to enable more liveable Australian communities - USA, Canada, Japan, South Korea, Netherlands, Spain, UK, South Africa
",2018,"Eather, Zoe","South Africa","yes"
"89",27,"
              To investigate the use of venture philanthropy to grow enterprises that foster economic inclusion - USA, Denmark, Germany, Switzerland
",2018,"Egan, Laura","USA","yes"
"90",27,"
              To investigate the use of venture philanthropy to grow enterprises that foster economic inclusion - USA, Denmark, Germany, Switzerland
",2018,"Egan, Laura","Denmark","yes"
"91",27,"
              To investigate the use of venture philanthropy to grow enterprises that foster economic inclusion - USA, Denmark, Germany, Switzerland
",2018,"Egan, Laura","Germany","yes"
"92",27,"
              To investigate the use of venture philanthropy to grow enterprises that foster economic inclusion - USA, Denmark, Germany, Switzerland
",2018,"Egan, Laura","Switzerland","yes"
"93",28,"
              To investigate new initiatives connecting student and online video creators in collaborative work - USA, UK
",2018,"Elkington, Ruari","USA","yes"
"94",28,"
              To investigate new initiatives connecting student and online video creators in collaborative work - USA, UK
",2018,"Elkington, Ruari","UK","yes"
"95",29,"
              To review successful service models of firefighters providing emergency medical care to the community - Ireland, Canada, USA
",2018,"Emery, Andrew","Ireland","yes"
"96",29,"
              To review successful service models of firefighters providing emergency medical care to the community - Ireland, Canada, USA
",2018,"Emery, Andrew","Canada","yes"
"97",29,"
              To review successful service models of firefighters providing emergency medical care to the community - Ireland, Canada, USA
",2018,"Emery, Andrew","USA","yes"
"98",30,"
              To develop a model of care for nursing patients in Australia with a diagnosis of breast cancer - USA, Canada
",2018,"Ernst PSM, Kerryn","USA","yes"
"99",30,"
              To develop a model of care for nursing patients in Australia with a diagnosis of breast cancer - USA, Canada
",2018,"Ernst PSM, Kerryn","Canada","yes"
"100",31,"
              To invigorate the endangered Norfolk Island language through a pre school 'language nest' approach - New Zealand, USA, Canada, Finland
",2018,"Evans, Suzanne","New Zealand","yes"
"101",31,"
              To invigorate the endangered Norfolk Island language through a pre school 'language nest' approach - New Zealand, USA, Canada, Finland
",2018,"Evans, Suzanne","USA","yes"
"102",31,"
              To invigorate the endangered Norfolk Island language through a pre school 'language nest' approach - New Zealand, USA, Canada, Finland
",2018,"Evans, Suzanne","Canada","yes"
"103",31,"
              To invigorate the endangered Norfolk Island language through a pre school 'language nest' approach - New Zealand, USA, Canada, Finland
",2018,"Evans, Suzanne","Finland","yes"
"104",32,"
              To investigate how shared equity can become a mainstream solution to housing affordability in Australia - UK, USA
",2018,"Evans, Samantha","UK","yes"
"105",32,"
              To investigate how shared equity can become a mainstream solution to housing affordability in Australia - UK, USA
",2018,"Evans, Samantha","USA","yes"
"106",33,"
              To enhance the standard of medical cannabis cultivation in Australian licensed facilities - Canada, Israel, Netherlands
",2018,"Forrest, Thomas","Canada","yes"
"107",33,"
              To enhance the standard of medical cannabis cultivation in Australian licensed facilities - Canada, Israel, Netherlands
",2018,"Forrest, Thomas","Israel","yes"
"108",33,"
              To enhance the standard of medical cannabis cultivation in Australian licensed facilities - Canada, Israel, Netherlands
",2018,"Forrest, Thomas","Netherlands","yes"
"109",34,"
              The Gallaugher Bequest Churchill Fellowship to develop effective interventions that improve literacy and numeracy outcomes in Tasmanian schools - UK, Finland, USA, Canada
",2018,"Fraser, Ganga","UK","yes"
"110",34,"
              The Gallaugher Bequest Churchill Fellowship to develop effective interventions that improve literacy and numeracy outcomes in Tasmanian schools - UK, Finland, USA, Canada
",2018,"Fraser, Ganga","Finland","yes"
"111",34,"
              The Gallaugher Bequest Churchill Fellowship to develop effective interventions that improve literacy and numeracy outcomes in Tasmanian schools - UK, Finland, USA, Canada
",2018,"Fraser, Ganga","USA","yes"
"112",34,"
              The Gallaugher Bequest Churchill Fellowship to develop effective interventions that improve literacy and numeracy outcomes in Tasmanian schools - UK, Finland, USA, Canada
",2018,"Fraser, Ganga","Canada","yes"
"113",35,"
              To improve women's sexual and reproductive health by optimising Intrauterine Device (IUD) usage - Sweden, UK, USA
",2018,"Frearson, Meredith","Sweden","yes"
"114",35,"
              To improve women's sexual and reproductive health by optimising Intrauterine Device (IUD) usage - Sweden, UK, USA
",2018,"Frearson, Meredith","UK","yes"
"115",35,"
              To improve women's sexual and reproductive health by optimising Intrauterine Device (IUD) usage - Sweden, UK, USA
",2018,"Frearson, Meredith","USA","yes"
"116",36,"
              To explore viable international commercial opportunities for the growth of WA Aboriginal artist careers - USA, UK, United Arab Emirates, China
",2018,"Galatis, Emilia","USA","yes"
"117",36,"
              To explore viable international commercial opportunities for the growth of WA Aboriginal artist careers - USA, UK, United Arab Emirates, China
",2018,"Galatis, Emilia","UK","yes"
"118",36,"
              To explore viable international commercial opportunities for the growth of WA Aboriginal artist careers - USA, UK, United Arab Emirates, China
",2018,"Galatis, Emilia","United Arab Emirates","yes"
"119",36,"
              To explore viable international commercial opportunities for the growth of WA Aboriginal artist careers - USA, UK, United Arab Emirates, China
",2018,"Galatis, Emilia","China","yes"
"120",37,"
              To explore the use of virtual reality, augmented reality and 360-degree videos in journalism - USA, UK, France, Switzerland
",2018,"Gibson, Jano","USA","yes"
"121",37,"
              To explore the use of virtual reality, augmented reality and 360-degree videos in journalism - USA, UK, France, Switzerland
",2018,"Gibson, Jano","UK","yes"
"122",37,"
              To explore the use of virtual reality, augmented reality and 360-degree videos in journalism - USA, UK, France, Switzerland
",2018,"Gibson, Jano","France","yes"
"123",37,"
              To explore the use of virtual reality, augmented reality and 360-degree videos in journalism - USA, UK, France, Switzerland
",2018,"Gibson, Jano","Switzerland","yes"
"124",38,"
              To undertake consultation with Aboriginal/Indigenous communities on the implementation of a Doula training program for Aboriginal women to provide cultural support to Aboriginal women who are birthing away off country/traditional lands - Canada, USA, New 
",2018,"Gliddon, Janinne","Canada","yes"
"125",38,"
              To undertake consultation with Aboriginal/Indigenous communities on the implementation of a Doula training program for Aboriginal women to provide cultural support to Aboriginal women who are birthing away off country/traditional lands - Canada, USA, New 
",2018,"Gliddon, Janinne","USA","yes"
"126",38,"
              To undertake consultation with Aboriginal/Indigenous communities on the implementation of a Doula training program for Aboriginal women to provide cultural support to Aboriginal women who are birthing away off country/traditional lands - Canada, USA, New 
",2018,"Gliddon, Janinne","New","no"
"127",39,"
              To research worldwide practice to inform implementation of Victoria Police Offender Management Project - USA, Canada, UK, Ireland
",2018,"Goldspink, Mark","USA","yes"
"128",39,"
              To research worldwide practice to inform implementation of Victoria Police Offender Management Project - USA, Canada, UK, Ireland
",2018,"Goldspink, Mark","Canada","yes"
"129",39,"
              To research worldwide practice to inform implementation of Victoria Police Offender Management Project - USA, Canada, UK, Ireland
",2018,"Goldspink, Mark","UK","yes"
"130",39,"
              To research worldwide practice to inform implementation of Victoria Police Offender Management Project - USA, Canada, UK, Ireland
",2018,"Goldspink, Mark","Ireland","yes"
"131",40,"
              To investigate variances of international approaches to the regulation of medical cannabis - USA, Canada, Germany, Netherlands, Austria, Israel
",2018,"Halliday, Samuel","USA","yes"
"132",40,"
              To investigate variances of international approaches to the regulation of medical cannabis - USA, Canada, Germany, Netherlands, Austria, Israel
",2018,"Halliday, Samuel","Canada","yes"
"133",40,"
              To investigate variances of international approaches to the regulation of medical cannabis - USA, Canada, Germany, Netherlands, Austria, Israel
",2018,"Halliday, Samuel","Germany","yes"
"134",40,"
              To investigate variances of international approaches to the regulation of medical cannabis - USA, Canada, Germany, Netherlands, Austria, Israel
",2018,"Halliday, Samuel","Netherlands","yes"
"135",40,"
              To investigate variances of international approaches to the regulation of medical cannabis - USA, Canada, Germany, Netherlands, Austria, Israel
",2018,"Halliday, Samuel","Austria","yes"
"136",40,"
              To investigate variances of international approaches to the regulation of medical cannabis - USA, Canada, Germany, Netherlands, Austria, Israel
",2018,"Halliday, Samuel","Israel","yes"
"137",41,"
              The Hort Innovation Australia Churchill Fellowship to investigate the use of horticultural QA standards to stay ahead of social license demands - New Zealand, UK, Ireland, Netherlands
",2018,"Hazell, Belinda","New Zealand","yes"
"138",41,"
              The Hort Innovation Australia Churchill Fellowship to investigate the use of horticultural QA standards to stay ahead of social license demands - New Zealand, UK, Ireland, Netherlands
",2018,"Hazell, Belinda","UK","yes"
"139",41,"
              The Hort Innovation Australia Churchill Fellowship to investigate the use of horticultural QA standards to stay ahead of social license demands - New Zealand, UK, Ireland, Netherlands
",2018,"Hazell, Belinda","Ireland","yes"
"140",41,"
              The Hort Innovation Australia Churchill Fellowship to investigate the use of horticultural QA standards to stay ahead of social license demands - New Zealand, UK, Ireland, Netherlands
",2018,"Hazell, Belinda","Netherlands","yes"
"141",42,"
              To investigate different models of informal learning and youth-led engagement in arts organisations - USA, Canada
",2018,"Higgins, Jo","USA","yes"
"142",42,"
              To investigate different models of informal learning and youth-led engagement in arts organisations - USA, Canada
",2018,"Higgins, Jo","Canada","yes"
"143",43,"
              The Mr and Mrs Gerald Frank New Churchill Fellowship to research the unique creative process and relationship between a choreographer and their composer - UK, Belgium, Netherlands, Germany, Israel, USA
",2018,"Hill, Christopher","UK","yes"
"144",43,"
              The Mr and Mrs Gerald Frank New Churchill Fellowship to research the unique creative process and relationship between a choreographer and their composer - UK, Belgium, Netherlands, Germany, Israel, USA
",2018,"Hill, Christopher","Belgium","yes"
"145",43,"
              The Mr and Mrs Gerald Frank New Churchill Fellowship to research the unique creative process and relationship between a choreographer and their composer - UK, Belgium, Netherlands, Germany, Israel, USA
",2018,"Hill, Christopher","Netherlands","yes"
"146",43,"
              The Mr and Mrs Gerald Frank New Churchill Fellowship to research the unique creative process and relationship between a choreographer and their composer - UK, Belgium, Netherlands, Germany, Israel, USA
",2018,"Hill, Christopher","Germany","yes"
"147",43,"
              The Mr and Mrs Gerald Frank New Churchill Fellowship to research the unique creative process and relationship between a choreographer and their composer - UK, Belgium, Netherlands, Germany, Israel, USA
",2018,"Hill, Christopher","Israel","yes"
"148",43,"
              The Mr and Mrs Gerald Frank New Churchill Fellowship to research the unique creative process and relationship between a choreographer and their composer - UK, Belgium, Netherlands, Germany, Israel, USA
",2018,"Hill, Christopher","USA","yes"
"149",44,"
              The NRMA-ACT Road Safety Trust Churchill Fellowship to investigate best practices to improve heavy vehicle safety in urban environments - UK, Sweden, Belgium, Luxembourg
",2018,"Holmes, Michael","UK","yes"
"150",44,"
              The NRMA-ACT Road Safety Trust Churchill Fellowship to investigate best practices to improve heavy vehicle safety in urban environments - UK, Sweden, Belgium, Luxembourg
",2018,"Holmes, Michael","Sweden","yes"
"151",44,"
              The NRMA-ACT Road Safety Trust Churchill Fellowship to investigate best practices to improve heavy vehicle safety in urban environments - UK, Sweden, Belgium, Luxembourg
",2018,"Holmes, Michael","Belgium","yes"
"152",44,"
              The NRMA-ACT Road Safety Trust Churchill Fellowship to investigate best practices to improve heavy vehicle safety in urban environments - UK, Sweden, Belgium, Luxembourg
",2018,"Holmes, Michael","Luxembourg","yes"
"153",45,"
              To observe successful methods of music education in schools and communities in North America - Canada, USA
",2018,"Holt, Matthew","Canada","yes"
"154",45,"
              To observe successful methods of music education in schools and communities in North America - Canada, USA
",2018,"Holt, Matthew","USA","yes"
"155",46,"
              The Stuart and Norma Leslie Churchill Fellowship to innovate 3D motion capture methods for dance with leading UK animation studios and research centres - UK
",2018,"Hopper, Luke Stephen","UK","yes"
"156",47,"
              The Peter Mitchell Churchill Fellowship to investigate best practices for virtual reality storytelling as a tool for social impact - USA
",2018,"Hughes, Jessie","USA","yes"
"157",48,"
              To connect and inspire communities through paper sculpture projects that focus on wildlife conservation - Italy, Thailand, Singapore
",2018,"Jan, Jasmine","Italy","yes"
"158",48,"
              To connect and inspire communities through paper sculpture projects that focus on wildlife conservation - Italy, Thailand, Singapore
",2018,"Jan, Jasmine","Thailand","yes"
"159",48,"
              To connect and inspire communities through paper sculpture projects that focus on wildlife conservation - Italy, Thailand, Singapore
",2018,"Jan, Jasmine","Singapore","yes"
"160",49,"
              To advance the celebration and conservation of the mid-century modern heritage of Canberra - USA
",2018,"Jarvis, Amy Louise","USA","yes"
"161",50,"
              To advance the evaluation of paediatric palliative care in the Australian Capital Territory - USA, Sweden
",2018,"Jolly, Ashka","USA","yes"
"162",50,"
              To advance the evaluation of paediatric palliative care in the Australian Capital Territory - USA, Sweden
",2018,"Jolly, Ashka","Sweden","yes"
"163",51,"
              The AV Jennings Churchill Fellowship to acquire the new technology for rapid construction of resilient and low-cost houses by 3D printing - USA, El Salvador, Netherlands, Italy, Singapore, China
",2018,"Kashani, Alireza","USA","yes"
"164",51,"
              The AV Jennings Churchill Fellowship to acquire the new technology for rapid construction of resilient and low-cost houses by 3D printing - USA, El Salvador, Netherlands, Italy, Singapore, China
",2018,"Kashani, Alireza","El Salvador","yes"
"165",51,"
              The AV Jennings Churchill Fellowship to acquire the new technology for rapid construction of resilient and low-cost houses by 3D printing - USA, El Salvador, Netherlands, Italy, Singapore, China
",2018,"Kashani, Alireza","Netherlands","yes"
"166",51,"
              The AV Jennings Churchill Fellowship to acquire the new technology for rapid construction of resilient and low-cost houses by 3D printing - USA, El Salvador, Netherlands, Italy, Singapore, China
",2018,"Kashani, Alireza","Italy","yes"
"167",51,"
              The AV Jennings Churchill Fellowship to acquire the new technology for rapid construction of resilient and low-cost houses by 3D printing - USA, El Salvador, Netherlands, Italy, Singapore, China
",2018,"Kashani, Alireza","Singapore","yes"
"168",51,"
              The AV Jennings Churchill Fellowship to acquire the new technology for rapid construction of resilient and low-cost houses by 3D printing - USA, El Salvador, Netherlands, Italy, Singapore, China
",2018,"Kashani, Alireza","China","yes"
"169",52,"
              The Jack Brockhoff Foundation Churchill Fellowship to investigate integrated models of care for Aboriginal children in out-of-home care - New Zealand, Canada, USA
",2018,"Kennedy, Niroshini","New Zealand","yes"
"170",52,"
              The Jack Brockhoff Foundation Churchill Fellowship to investigate integrated models of care for Aboriginal children in out-of-home care - New Zealand, Canada, USA
",2018,"Kennedy, Niroshini","Canada","yes"
